adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,2,3,1,2,1,2,2,1,1
1,1,3,3,1,2,1,2,2,1,1
1,1,2,5,1,3,1,2,2,1,1
1,2,3,5,1,4,1,2,2,1,1
1,2,4,5,1,4,1,2,2,1,1
1,2,4,6,1,4,1,2,2,1,1
1,2,4,5,1,4,1,2,2,1,1
1,2,5,6,1,4,1,3,2,1,1
1,2,5,7,1,5,1,3,3,1,1
1,2,5,7,1,5,1,3,3,1,1
1,2,5,7,1,5,1,3,3,1,1
1,2,5,7,1,6,1,3,3,1,1
1,2,5,7,1,6,1,3,3,1,1
1,2,5,7,1,5,1,3,3,1,1
1,2,5,6,1,5,1,3,3,1,1
1,2,4,6,1,5,1,3,3,1,1
1,2,4,6,1,5,1,3,3,1,1
1,2,4,6,1,5,1,3,3,1,1
1,2,4,6,1,5,1,3,3,1,1
1,2,4,6,1,5,1,3,3,1,1
1,2,4,6,1,5,1,3,3,1,1
1,2,4,6,1,5,1,3,3,1,1
1,2,4,6,1,5,1,3,3,1,1
1,2,4,7,1,6,1,3,3,1,1
1,2,4,7,1,5,1,3,3,1,1
1,2,3,6,1,5,1,2,2,1,1
1,1,1,3,1,3,1,2,2,1,1
1,1,1,3,1,3,1,2,2,1,1
1,1,1,3,1,3,1,2,2,1,1
1,1,1,3,1,3,1,2,2,1,1
1,1,1,3,1,3,1,2,2,1,1
1,1,2,5,1,5,1,2,2,1,1
1,1,2,5,1,4,1,2,2,1,1
1,2,3,5,1,4,1,3,2,1,1
1,2,3,6,1,5,1,2,2,1,1
1,1,3,5,1,4,1,2,2,1,1
1,1,1,3,1,2,1,1,1,1,1
1,1,1,3,1,2,1,1,1,1,1
1,1,1,3,1,2,1,1,1,1,1
1,1,1,3,1,2,1,1,1,1,1
1,1,2,4,1,3,1,2,2,1,1
1,1,2,4,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,3,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,2,3,1,3,1,1,1,1,1
1,1,2,5,1,3,1,2,2,1,1
1,1,2,6,1,4,1,2,2,1,1
1,2,2,8,1,5,1,2,2,1,1
1,2,2,8,1,5,1,2,2,1,1
1,2,2,8,1,5,1,2,2,1,1
1,2,2,9,1,5,1,2,2,1,1
1,2,2,9,1,5,1,2,2,1,1
1,2,2,9,1,6,1,2,2,1,1
1,2,2,9,1,6,1,2,2,1,1
1,2,2,9,1,5,1,2,2,1,1
1,1,2,8,1,5,1,2,2,1,1
1,2,2,8,1,5,1,2,2,1,1
1,1,2,8,1,5,1,2,2,1,1
1,2,2,7,1,5,1,2,2,1,1
1,2,3,9,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,10,1,6,1,3,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,2,1,1
1,2,3,9,1,6,1,2,2,1,1
1,2,3,9,1,6,1,2,2,1,1
1,2,3,9,1,6,1,2,2,1,1
1,2,4,9,1,6,1,2,2,1,1
1,2,4,9,1,5,1,2,2,1,1
1,1,3,7,1,4,1,2,2,1,1
1,1,2,4,1,3,1,1,1,1,1
1,1,2,4,1,3,1,1,1,1,1
1,1,2,4,1,3,1,1,1,1,1
1,1,2,4,1,3,1,1,1,1,1
1,1,2,4,1,2,1,1,1,1,1
1,1,2,5,1,3,1,1,1,1,1
1,1,2,3,1,1,1,1,1,1,1
1,1,2,3,1,1,1,1,1,1,1
1,1,2,3,1,1,1,1,1,1,1
1,1,2,3,1,1,1,1,1,1,1
1,1,2,3,1,1,1,1,1,1,1
1,1,3,4,1,2,1,1,2,1,1
1,1,3,4,1,2,1,1,2,1,1
1,1,4,6,1,3,1,2,2,1,1
1,2,4,8,1,4,1,2,2,1,1
1,2,4,9,1,5,1,2,2,1,1
1,2,5,10,1,5,1,2,2,1,1
1,2,5,10,1,5,1,2,2,1,1
1,2,5,11,1,5,1,2,2,1,1
1,2,6,11,1,6,1,3,2,1,1
1,2,6,11,1,6,1,3,3,1,1
1,2,6,11,1,6,1,3,3,1,1
1,2,6,11,1,6,1,3,3,1,1
1,2,6,10,1,6,1,3,3,1,1
1,2,6,10,1,6,1,3,3,1,1
1,1,4,7,1,4,1,2,2,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,2,3,1,2,1,1,2,1,1
1,1,3,4,1,3,1,1,2,1,1
1,1,3,5,1,3,1,2,2,1,1
